,table,count_into_etl,count_select_dev
0,tbl_157224,26,0
1,tbl_157223,0,0
2,tbl_195789,24,0
3,tbl_195791,0,0
4,tbl_144504,24,0
5,tbl_144505,0,0
6,tbl_17535,30,0
7,tbl_21652,0,0
8,tbl_26976,0,54
9,tbl_29499,3,3
10,tbl_91912,26,0
11,tbl_92053,12,0
12,tbl_92075,22,0
13,tbl_92100,22,0
14,tbl_92114,22,0
15,tbl_338640,5,0
16,tbl_8053,0,1593
17,tbl_9874,0,150
18,tbl_10303,0,1494
19,tbl_16750,12,0
20,tbl_26776,759,222
21,tbl_207146,0,0
22,tbl_207148,0,0
23,tbl_207154,0,0
24,tbl_207180,0,0
25,tbl_207188,0,0
26,tbl_207206,0,0
27,tbl_207224,0,0
28,tbl_207284,0,0
29,tbl_207296,0,0
30,tbl_207298,0,0
31,tbl_207357,0,0
32,tbl_207364,0,0
33,tbl_207394,0,0
34,tbl_207533,0,3
35,tbl_207535,0,0
36,tbl_207565,0,0
37,tbl_207755,0,4
38,tbl_207812,0,0
39,tbl_207831,0,2
40,tbl_207845,0,2
41,tbl_207887,0,1
42,tbl_7094,0,0
43,tbl_7095,0,1090
44,tbl_7105,0,545
45,tbl_33332,0,762
46,tbl_70507,22,58
47,tbl_70594,0,58
48,tbl_71000,0,59
49,tbl_385661,0,0
50,tbl_142212,26,0
51,tbl_142214,0,0
52,tbl_75047,24,0
53,tbl_75046,0,0
54,tbl_46196,26,0
55,tbl_195626,24,0
56,tbl_195627,0,0
57,tbl_195426,24,0
58,tbl_195424,0,0
59,tbl_195544,24,0
60,tbl_195543,0,0
61,tbl_142463,24,0
62,tbl_142465,0,0
63,tbl_151403,22,51
64,tbl_69693,24,0
65,tbl_69692,0,0
66,tbl_10099,0,5
67,tbl_19156,0,34
68,tbl_19418,0,0
69,tbl_29188,0,73
70,tbl_88732,1,0
71,tbl_88733,0,0
72,tbl_88736,1,0
73,tbl_88735,1,0
74,tbl_88739,0,0
75,tbl_89035,11,4
76,tbl_211548,0,0
77,tbl_7097,0,124
78,tbl_7100,0,62
79,tbl_7103,0,62
80,tbl_7113,0,62
81,tbl_12551,30,261
82,tbl_14845,0,213
83,tbl_19181,0,220
84,tbl_26791,226,200
85,tbl_27667,203,228
86,tbl_147649,22,7
87,tbl_147914,0,7
88,tbl_148896,22,19
89,tbl_148959,22,8
90,tbl_148962,22,8
91,tbl_148968,24,8
92,tbl_149109,20,8
93,tbl_385667,0,0
94,tbl_122170,24,0
95,tbl_122172,0,0
96,tbl_20055,3,104
97,tbl_40941,0,359
98,tbl_379369,0,12
99,tbl_380122,24,0
100,tbl_112511,30,1
101,tbl_112583,0,1
102,tbl_112708,0,1
103,tbl_112841,30,1
104,tbl_112844,30,1
105,tbl_112847,30,1
106,tbl_113316,26,2
107,tbl_113320,0,2
108,tbl_113322,30,1
109,tbl_113394,30,2
110,tbl_113397,26,2
111,tbl_140885,30,0
112,tbl_47306,24,38
113,tbl_47304,0,0
114,tbl_14638,0,689
115,tbl_14714,0,125
116,tbl_18550,0,461
117,tbl_20007,0,0
118,tbl_20560,0,1302
119,tbl_20716,0,322
120,tbl_27178,0,19
121,tbl_27182,939,2
122,tbl_29040,735,5
123,tbl_29455,829,42
124,tbl_39064,20,0
125,tbl_39141,80,0
126,tbl_258439,14,1026
127,tbl_289938,0,774
128,tbl_290043,0,0
129,tbl_290044,40,0
130,tbl_78602,0,2
131,tbl_78610,13,4
132,tbl_78614,13,0
133,tbl_78749,12,0
134,tbl_78767,0,38
135,tbl_78824,13,22
136,tbl_78851,0,19
137,tbl_78888,3,0
138,tbl_78890,1,0
139,tbl_78891,1,0
140,tbl_78930,0,19
141,tbl_78952,0,0
142,tbl_79077,0,7
143,tbl_79105,0,21
144,tbl_79155,13,3
145,tbl_79211,0,21
146,tbl_79297,0,0
147,tbl_79319,0,7
148,tbl_79347,0,0
149,tbl_79352,0,7
150,tbl_79385,0,0
151,tbl_79402,0,0
152,tbl_79408,0,0
153,tbl_51686,26,0
154,tbl_51687,0,0
155,tbl_50455,65,0
156,tbl_50454,0,0
157,tbl_51199,68,0
158,tbl_51200,0,0
159,tbl_142476,26,0
160,tbl_142477,0,0
161,tbl_141910,26,0
162,tbl_141912,0,0
